Com,HetAdv,HomAdv,Count,HetPrev,HomPrev
1.412,0.00018,-100,4294967295,0,0
1.412,0.0002,-100,4294967295,0,0
1.412,0.00023,-100,4294967295,0,0
1.412,0.00025,-100,4294967295,0,0
1.412,0.00028,-100,4294967295,0,0
1.412,0.00031,-100,4294967295,0,0
1.412,0.00034,-100,4294967295,0,0
1.412,0.00038,-100,4294967295,0,0
1.412,0.00042,-100,4294967295,0,0
1.412,0.00047,-100,4294967295,0,0
1.412,0.00052,-100,4294967295,0,0
1.412,0.00058,-100,4294967295,0,0
1.412,0.00065,-100,4294967295,0,0
1.412,0.00072,-100,4294967295,0,0
1.412,0.0008,-100,4294967295,0,0
1.412,0.00089,-100,4294967295,0,0
1.412,0.00098,-100,4294967295,0,0
1.412,0.00109,-100,4294967295,0,0
1.412,0.00122,-100,4294967295,0,0
1.412,0.00135,-100,4294967295,0,0
1.412,0.0015,-100,4294967295,0,0
1.412,0.00167,-100,4294967295,0,0
1.412,0.00185,-100,4294967295,0,0
1.412,0.00206,-100,4294967295,0,0
1.412,0.00229,-100,4294967295,0,0
1.412,0.00254,-100,4294967295,0,0
1.412,0.00282,-100,4294967295,0,0
1.412,0.00314,-100,4294967295,0,0
1.412,0.00349,-100,4294967295,0,0
1.412,0.00387,-100,4294967295,0,0
1.412,0.0043,-100,4294967295,0,0
1.412,0.00478,-100,4294967295,0,0
1.412,0.00531,-100,4294967295,0,0
1.412,0.0059,-100,4294967295,0,0
1.412,0.00656,-100,4294967295,0,0
1.412,0.00729,-100,4294967295,0,0
1.412,0.0081,-100,4294967295,0,0
1.412,0.009,-100,4294967295,0,0
1.412,0.01,-100,4294967295,0,0
1.412,0.01111,-100,4294967295,0,0
1.412,0.01234,-100,4294967295,0,0
1.412,0.01371,-100,4294967295,0,0
1.412,0.01524,-100,4294967295,0,0
1.412,0.01693,-100,4294967295,0,0
1.412,0.01881,-100,4294967295,0,0
1.412,0.0209,-100,4294967295,0,0
1.412,0.02322,-100,4294967295,0,0
1.412,0.0258,-100,4294967295,0,0
1.412,0.02867,-100,4294967295,0,0
1.412,0.03185,-100,4294967295,0,0
1.412,0.03539,-100,4294967295,0,0
1.412,0.03933,-100,4294967295,0,0
1.412,0.04369,-100,4294967295,0,0
1.412,0.04855,-100,4294967295,0,0
1.412,0.05394,-100,4294967295,0,0
1.412,0.05994,-100,4294967295,0,0
1.412,0.0666,-100,4294967295,0,0
1.412,0.074,-100,4294967295,0,0
1.412,0.08222,-100,4294967295,0,0
1.412,0.09136,-100,4294967295,0,0
1.412,0.10151,-100,4294967295,0,0
1.412,0.11278,-100,4294967295,0,0
1.412,0.12532,-100,4294967295,0,0
1.412,0.13924,-100,4294967295,0,0
1.412,0.15471,-100,4294967295,0,0
1.412,0.1719,-100,4294967295,0,0
1.412,0.191,-100,4294967295,0,0
1.412,0.21222,-100,4294967295,0,0
1.412,0.2358,-100,4294967295,0,0
1.412,0.262,-100,4294967295,0,0
1.412,0.29112,-100,4294967295,0,0
1.412,0.32346,-100,4294967295,0,0
1.412,0.3594,-100,4294967295,0,0
1.412,0.39934,-100,4294967295,0,0
1.412,0.44371,-100,4294967295,0,0
1.412,0.49301,-100,4294967295,0,0
1.412,0.54779,-100,4294967295,0,0
1.412,0.60865,-100,4294967295,0,0
1.412,0.67628,-100,4294967295,0,0
1.412,0.75142,-100,4294967295,0,0
1.412,0.83491,-100,4294967295,0,0
1.412,0.92768,-100,4294967295,0,0
1.412,1.0308,-100,4294967295,0,0
1.412,1.1453,-100,4294967295,0,0
1.412,1.2725,-100,4294967295,0,0
1.412,1.4139,-100,4294967295,0,0
1.412,1.571,-100,4294967295,0,0
1.412,1.7456,-100,4294967295,0,0
1.412,1.9396,-100,4294967295,0,0
1.412,2.1551,-100,4294967295,0,0
1.412,2.3945,-100,4294967295,0,0
1.412,2.6606,-100,4294967295,0,0
1.412,2.9562,-100,4294967295,0,0
1.412,3.2846,-100,4294967295,0,0
1.412,3.6496,-100,4294967295,0,0
1.412,4.0551,-100,4294967295,0,0
1.412,4.5057,-100,4294967295,0,0
1.412,5.0063,-100,4294967295,0,0
1.412,5.5626,-100,4294967295,0,0
1.412,6.1806,-100,4294967295,0,0
1.412,6.8674,-100,4294967295,0,0
1.412,7.6304,-100,4294967295,0,0
1.412,8.4782,-100,4294967295,0,0
1.412,9.4203,-100,4294967295,0,0
1.412,10.467,-100,4294967295,0,0
1.412,11.63,-100,4294967295,0,0
1.412,12.922,-100,4294967295,0,0
1.412,14.358,-100,4294967295,0,0
1.412,15.953,-100,4294967295,0.000175,6.25E-6
1.412,17.726,-100,4294967295,0.00065813,7.875E-5
1.412,19.695,-100,4294967295,0.012727,0.0011725
1.412,21.884,-100,4294967295,1.3983,0.13245
1.412,24.315,-100,4294967295,9.4657,0.96951
1.412,27.017,-100,4294967295,14.768,1.6408
1.412,30.019,-100,4294967295,18.831,2.2508
1.412,33.354,-100,4294967295,22.275,2.8712
1.412,37.06,-100,4294967295,25.289,3.4917
1.412,41.178,-100,4294967295,27.888,4.1248
1.412,45.754,-100,4294967295,30.198,4.7857
1.412,50.837,-100,4294967295,32.28,5.4249
1.412,56.486,-100,4294967295,34.075,6.0866
1.412,62.762,-100,4294967295,35.674,6.7575
1.412,69.736,-100,4294967295,37.115,7.406
1.412,77.484,-100,4294967295,38.314,8.062
1.412,86.093,-100,4294967295,39.342,8.7112
1.412,95.659,-100,4294967295,40.249,9.323
1.412,106.29,-100,4294967295,40.998,9.9556
1.412,118.1,-100,4294967295,41.596,10.516
1.412,131.22,-100,4294967295,42.067,11.081
1.412,145.8,-100,4294967295,42.428,11.617
1.412,162,-100,4294967295,42.684,12.106
1.412,180,-100,4294967295,42.838,12.582
1.412,200,-100,4294967295,42.841,13.013
